puma10,puma_death_rate,puma_hosp_rate,puma_vacc_rate
3701,34.09364480303031,53.23122413,55.79212724
3702,29.32831185934066,58.91162393166667,47.19202914
3703,36.04995686495726,66.54512940201754,58.33805667
3704,16.686506352747255,34.61144190421053,29.38498381
3705,16.340536780384618,41.276911070000004,33.17925611
3706,15.265674487619046,38.6193902,32.95661112
3707,24.974869095,59.07693266999999,49.44718571999999
3708,23.88068285076923,56.69115758,50.154830249999996
3709,31.35383596068376,72.27653635789474,58.464134709999996
3710,27.30246315514652,68.93778468117647,54.67030132
3801,30.5162634988345,70.057669895,66.2984268
3802,19.998794192540792,43.918804044999995,48.85419866
3803,25.349717398383838,52.935975830000004,52.66353402
3804,39.05456716121212,79.16728161157894,67.97466059999999
3805,15.520490463203464,29.133133263157895,79.65670448
3806,16.108635127272727,27.957386531052634,72.77394120000001
3807,10.852903321688313,29.08449127736842,103.77158098000001
3808,9.550258451428572,24.29112595157895,74.16001574
3809,20.17626237857143,48.30229162304094,66.7768837
3810,6.172906712525252,26.179243772422723,69.98952914
3901,16.623120483956043,50.39406845672515,60.09652856
3902,20.373764112820513,43.78995,43.458921870000005
3903,27.355458503296703,60.66236385,57.35283653
4001,14.21813608968254,39.082496580000004,58.447654269999994
4002,17.25184650909091,35.03766505,45.7359626
4003,11.856956044055943,23.838610759999998,28.97880956
4004,18.8004912119697,26.84854297605263,52.41831526000001
4005,11.897309157499999,20.271084071578947,56.372907260000005
4006,17.659177690909093,34.77865605894738,36.552969700000006
4007,20.567420339999998,46.98000647999999,35.15456634
4008,34.56442932,75.78816551,58.50737760999999
4009,29.130831430369533,55.99292560000001,52.79784025
4010,16.884228965826328,39.87683944,33.50670313
4011,23.331199863935577,37.903468015,41.66964671
4012,17.64125612272727,44.34032407236842,65.06918798
4013,20.14401867272727,37.561209639999994,53.846622059999994
4014,17.881271121428572,38.26265538,32.83802822
4015,22.038890012121215,44.066260209999996,35.70954884
4016,26.308793201121794,52.665199535,46.638991479999994
4017,23.010968830419582,43.439624715,46.757656180000005
4018,36.36849798065268,71.49580845999999,39.889945559999994
4101,30.918457502905984,49.86796581605263,76.95831059000001
4102,40.31339268205128,78.410992225,73.56289411
4103,39.80361178766234,75.78331462789473,89.3423505
4104,20.63983240064935,42.323901440292396,69.29053472
4105,25.542876611518484,63.716925378538015,59.18984477
4106,20.506074312878788,47.78101881804094,52.810571149999994
4107,29.97350185,67.73588259,73.20578382
4108,29.802168561904764,63.56849956,75.41585168
4109,23.402268054318178,54.49320700166667,72.92282347000001
4110,28.096625116666665,57.47388819,69.93417077999999
4111,26.637245439900102,66.49280592000001,71.83169993
4112,27.69035520342824,61.81357953055556,54.83647726
4113,25.384202943606393,64.13468499,66.65028406
4114,59.27575883116883,91.39568043343654,58.46302
